wavelength_Q32,abs_Q32,wavelength_Q33,abs_Q33,wavelength_Q34,abs_Q34
702,3510.6,704,1798,702,164.44
703,3625.9,705,1719.7,703,175.91
704,3743.5,706,1657,704,177.82
705,3837.5,707,1625.7,705,152.96
706,3944.3,708,1543.4,706,160.61
707,3995.6,709,1543.4,707,147.23
708,4070.4,710,1516,708,133.84
709,4044.7,711,1441.6,709,152.96
710,4042.6,712,1390.6,710,154.88
711,4012.7,713,1406.3,711,137.67
712,3931.5,714,1367.1,712,141.49
713,3873.8,715,1425.9,713,160.61
714,3764.8,716,1371.1,714,149.14
715,3655.9,717,1351.5,715,147.23
716,3536.2,718,1335.8,716,152.96
717,3397.3,719,1281,717,156.79
718,3264.8,720,1335.8,718,145.32
719,3119.6,721,1269.2,719,149.14
720,3004.2,722,1245.7,720,151.05
721,2869.6,723,1226.1,721,160.61
722,2720,724,1230,722,166.35
723,2591.8,725,1222.2,723,162.52
724,2461.5,726,1194.8,724,170.17
725,2343.9,727,1159.5,725,177.82
726,2222.1,728,1179.1,726,177.82
727,2126,729,1096.8,727,166.35
728,1989.2,730,1128.2,728,189.29
729,1901.6,731,1069.4,729,191.01
730,1839.7,732,1018.5,730,191.01
731,1728.6,733,1045.9,731,204.59
732,1615.3,734,987.16,732,204.59
733,1555.5,735,1022.4,733,195.03
734,1493.5,736,967.57,734,206.5
735,1420.9,737,912.73,735,179.73
736,1354.7,738,916.65,736,200.76
737,1305.5,739,893.15,737,212.24
738,1232.9,740,873.56,738,237.09
739,1213.6,741,787.38,739,237.09
740,1143.1,742,791.3,740,204.59
741,1132.4,743,752.12,741,196.94
742,1044.8,744,724.7,742,214.15
743,1032,745,681.61,743,185.47
744,976.46,746,736.45,744,196.94
745,974.33,747,673.78,745,200.76
746,946.55,748,615.02,746,196.94
747,931.59,749,662.02,747,191.01
748,886.72,750,615.02,748,210.33
749,865.35,751,579.76,749,187.38
750,865.35,752,544.51,750,187.38
751,835.44,753,497.5,751,202.68
752,807.66,754,485.75,752,189.29
753,805.53,755,540.59,753,177.82
754,788.43,756,489.66,754,162.52
755,747.84,757,426.99,755,156.79
756,769.2,758,481.83,756,162.52
757,771.34,759,415.23,757,164.44
758,737.15,760,407.4,758,166.35
759,726.47,761,426.99,759,168.26
760,711.51,762,426.99,760,149.14
761,698.69,763,383.9,761,158.7
762,677.33,764,442.66,762,131.93
763,664.51,765,391.73,763,145.32
764,688.01,766,340.81,764,135.76
765,675.19,767,309.47,765,158.7
766,666.64,768,305.55,766,120.46
767,666.64,769,325.14,767,137.67
768,638.87,770,301.63,768,135.76
769,658.1,771,258.54,769,126.2
770,632.46,772,258.54,770,107.07
771,621.77,773,234.65,771,107.07
772,617.5,774,207.62,772,87.954
773,628.18,775,282.05,773,107.07
774,649.55,776,141.02,774,120.46
775,617.5,777,207.62,775,107.07
776,583.31,778,262.46,776,76.482
777,606.82,779,238.96,777,105.16
778,589.72,780,258.54,778,107.07
779,589.72,781,219.37,779,86.042
