product_name,product_smiles,alkyne,nitrile,regioisomer
py_94,CC#CCc1ccc(CC#CC)c(C2[C]C2)n1,"1,4-Hexadiyne",2-Cyanocyclopropylidene,conf_2
py_95,CC#CCc1cnc(C2[C]C2)cc1CC#CC,"1,4-Hexadiyne",2-Cyanocyclopropylidene,conf_3
py_96,CC#CCc1cnc(C2[C]C2)c(CC#CC)c1,"1,4-Hexadiyne",2-Cyanocyclopropylidene,conf_4
py_97,Cc1cc(C)nc(Cc2ccccc2)c1,Propyne,Phenylacetonitrile,conf_1
py_98,Cc1ccc(C)c(Cc2ccccc2)n1,Propyne,Phenylacetonitrile,conf_2
py_99,Cc1cnc(Cc2ccccc2)cc1C,Propyne,Phenylacetonitrile,conf_3
py_100,Cc1cnc(Cc2ccccc2)c(C)c1,Propyne,Phenylacetonitrile,conf_4
py_101,Cc1cc(C)nc(C)c1,Propyne,Acetonitrile,conf_1
py_102,Cc1ccc(C)c(C)n1,Propyne,Acetonitrile,conf_2
py_103,Cc1cc(C)c(C)cn1,Propyne,Acetonitrile,conf_3
py_104,Cc1cnc(C)c(C)c1,Propyne,Acetonitrile,conf_4
py_105,C=Cc1cc(C)cc(C)n1,Propyne,Acrylonitrile,conf_1
py_106,C=Cc1nc(C)ccc1C,Propyne,Acrylonitrile,conf_2
py_107,C=Cc1cc(C)c(C)cn1,Propyne,Acrylonitrile,conf_3
py_108,C=Cc1ncc(C)cc1C,Propyne,Acrylonitrile,conf_4
py_109,Cc1cc(C)nc(-c2ccccc2)c1,Propyne,Benzonitrile,conf_1
py_110,Cc1ccc(C)c(-c2ccccc2)n1,Propyne,Benzonitrile,conf_2
py_111,Cc1cnc(-c2ccccc2)cc1C,Propyne,Benzonitrile,conf_3
py_112,Cc1cnc(-c2ccccc2)c(C)c1,Propyne,Benzonitrile,conf_4
py_113,Cc1cc(C)nc(C(C)C)c1,Propyne,Isobutyronitrile,conf_1
py_114,Cc1ccc(C)c(C(C)C)n1,Propyne,Isobutyronitrile,conf_2
py_115,Cc1cnc(C(C)C)cc1C,Propyne,Isobutyronitrile,conf_3
py_116,Cc1cnc(C(C)C)c(C)c1,Propyne,Isobutyronitrile,conf_4
py_117,Cc1cc(C)nc(C2[C]C2)c1,Propyne,2-Cyanocyclopropylidene,conf_1
py_118,Cc1ccc(C)c(C2[C]C2)n1,Propyne,2-Cyanocyclopropylidene,conf_2
py_119,Cc1cnc(C2[C]C2)cc1C,Propyne,2-Cyanocyclopropylidene,conf_3
py_120,Cc1cnc(C2[C]C2)c(C)c1,Propyne,2-Cyanocyclopropylidene,conf_4
py_121,BrCc1cc(CBr)nc(Cc2ccccc2)c1,Propargyl bromide,Phenylacetonitrile,conf_1
py_122,BrCc1ccc(CBr)c(Cc2ccccc2)n1,Propargyl bromide,Phenylacetonitrile,conf_2
py_123,BrCc1cnc(Cc2ccccc2)cc1CBr,Propargyl bromide,Phenylacetonitrile,conf_3
py_124,BrCc1cnc(Cc2ccccc2)c(CBr)c1,Propargyl bromide,Phenylacetonitrile,conf_4
py_125,Cc1cc(CBr)cc(CBr)n1,Propargyl bromide,Acetonitrile,conf_1
py_126,Cc1nc(CBr)ccc1CBr,Propargyl bromide,Acetonitrile,conf_2
py_127,Cc1cc(CBr)c(CBr)cn1,Propargyl bromide,Acetonitrile,conf_3
py_128,Cc1ncc(CBr)cc1CBr,Propargyl bromide,Acetonitrile,conf_4
py_129,C=Cc1cc(CBr)cc(CBr)n1,Propargyl bromide,Acrylonitrile,conf_1
py_130,C=Cc1nc(CBr)ccc1CBr,Propargyl bromide,Acrylonitrile,conf_2
py_131,C=Cc1cc(CBr)c(CBr)cn1,Propargyl bromide,Acrylonitrile,conf_3
py_132,C=Cc1ncc(CBr)cc1CBr,Propargyl bromide,Acrylonitrile,conf_4
py_133,BrCc1cc(CBr)nc(-c2ccccc2)c1,Propargyl bromide,Benzonitrile,conf_1
py_134,BrCc1ccc(CBr)c(-c2ccccc2)n1,Propargyl bromide,Benzonitrile,conf_2
py_135,BrCc1cnc(-c2ccccc2)cc1CBr,Propargyl bromide,Benzonitrile,conf_3
py_136,BrCc1cnc(-c2ccccc2)c(CBr)c1,Propargyl bromide,Benzonitrile,conf_4
py_137,CC(C)c1cc(CBr)cc(CBr)n1,Propargyl bromide,Isobutyronitrile,conf_1
py_138,CC(C)c1nc(CBr)ccc1CBr,Propargyl bromide,Isobutyronitrile,conf_2
py_139,CC(C)c1cc(CBr)c(CBr)cn1,Propargyl bromide,Isobutyronitrile,conf_3
py_140,CC(C)c1ncc(CBr)cc1CBr,Propargyl bromide,Isobutyronitrile,conf_4
py_141,BrCc1cc(CBr)nc(C2[C]C2)c1,Propargyl bromide,2-Cyanocyclopropylidene,conf_1
py_142,BrCc1ccc(CBr)c(C2[C]C2)n1,Propargyl bromide,2-Cyanocyclopropylidene,conf_2
py_143,BrCc1cnc(C2[C]C2)cc1CBr,Propargyl bromide,2-Cyanocyclopropylidene,conf_3
py_144,BrCc1cnc(C2[C]C2)c(CBr)c1,Propargyl bromide,2-Cyanocyclopropylidene,conf_4
