Name,target_CO2_capacity(mmol/g),MW_or_Mn_(g/mol),Organic_Content_on_Adsorbent_Basis_(%),N_Content_on_Adsorbent_Basis_(mmol/g),Amine_2_or_Additive_2_to_Amine_1_Ratio,Additive_3_to_Amine_1_Ratio,OH_to_N_ratio,BET_Surface_Area_of_Solid_Support_(m2g_1),Pore_Volume_of_Solid_Support_(cm3g_1),Average_Pore_Diameters_(nm),Relative_Humidity_(%),CO2_Concentration_(vol%),Flow_Rate_(mL/min),Adsorption_Time_(min),Adsorption_Temperature_(),Amine_Efficiency_(mmol/mmol),Time_to_Half_Saturation_(min),Time_to_90%_Saturation_(min),Desorption_Temperature_(),Weight_Loss_Stability_(%),Capacity_Loss_Stability_(%),Cycle_Number,Heat_of_Adsorption_(kJ/mmol)
MFTEPA1_1.5_0,1.95,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.042,200,300,40,0.223718182,0,0,0,0,0,0,0
MFTEPA1_1.5_0,1.54,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.042,200,300,50,0.17668,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.46,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.042,200,785,30,0.282229091,122.6003999,323.3308616,0,0,0,0,0
MFTEPA1_1.5_0,1.71,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.02,200,300,30,0.196183636,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.17,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.02,200,1057,30,0.248958182,163.4475199,433.0965145,0,0,0,0,0
MFTEPA1_1.5_0,2.41,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.06,200,300,30,0.276492727,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.46,190.3,133,34.94482396,0,0,0,1300,5.19,24.6,0,0.06,200,459,30,0.070396692,72.86386033,190.5277837,0,0,0,0,0
MFTEPA1_1.5_0,2.46,189.3,33,8.716323296,0,0,0,1300,5.19,24.6,0,0.1,200,300,30,0.282229091,42.7,116.8,0,0,0,0,0
MFTEPA1_1.5_0,2.3,189.3,50,13.20655045,0,0,0,1300,5.19,24.6,0,0.042,200,300,30,0.174156,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.31,189.3,60,15.84786054,0,0,0,1300,5.19,24.6,0,0.042,200,300,30,0.145761,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.39,189.3,67,17.6967776,0,0,0,1300,5.19,24.6,0,0.042,200,300,30,0.135052836,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.65,189.3,71,18.75330164,0,0,0,1300,5.19,24.6,0,0.042,200,300,30,0.141308451,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.85,189.3,71,18.75330164,0,0,0,1300,5.19,24.6,0,0.1,200,300,30,0.151973239,0,0,0,0,0,0,0
MFTEPA1_1.5_0,2.27,189.3,75,19.80982567,0,0,0,1300,5.19,24.6,0,0.042,200,300,30,0.1145896,0,0,0,0,0,0,0
NPREXAD4BPEI1.81_1.52_1,0.338782925,600,50,11.66666667,0,0,0,750,0.98,10,0,100,60,60,75,0.029038536,0,0,0,0,0,0,0
NPRED4020BPEI1.81_1.52_1,0.621934605,600,50,11.66666667,0,0,0,560,2.9,11,0,100,60,60,75,0.05330868,0,0,0,0,0,0,0
PREXAD7BPEI1.81_1.52_1,1.754541326,600,50,11.66666667,0,0,0,380,0.5,35,0,100,60,60,75,0.150389257,0,0,0,0,0,0,0
PREHP2MGBPEI1.81_1.52_1,1.995912807,600,50,11.66666667,0,0,0,570,1.3,48,0,100,60,60,75,0.171078241,0,0,0,0,0,0,0
PREDA201BPEI1.81_1.52_1,2.415304269,600,50,11.66666667,0,0,0,275,0.8,25,0,100,60,60,75,0.20702608,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,2.327383934,600,30,7,0,0,0,597,1.42,58,0,100,60,60,25,0.33015873,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,3.27700311,600,40,9.333333333,0,0,0,597,1.42,58,0,100,60,60,25,0.348730159,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,3.716643727,600,45,10.5,0,0,0,597,1.42,58,0,100,60,60,25,0.351111111,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,4.098718665,600,50,11.66666667,0,0,0,597,1.42,58,0,100,60,60,25,0.348571429,0.21,8.16,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,2.794318971,600,55,12.83333333,0,0,0,597,1.42,58,0,100,60,60,25,0.216984127,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,2.052341202,600,30,7,0,0,0,597,1.42,58,0,100,60,60,75,0.291428571,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,2.886835722,600,40,9.333333333,0,0,0,597,1.42,58,0,100,60,60,75,0.307142857,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,3.253986224,600,45,10.5,0,0,0,597,1.42,58,0,100,60,60,75,0.307936508,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,3.582746197,600,50,11.66666667,0,0,0,597,1.42,58,0,100,60,60,75,0.305079365,0.17,0.47,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,2.621621931,600,55,12.83333333,0,0,0,597,1.42,58,0,100,60,60,75,0.203492063,0,0,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,4.058128974,600,50,11.66666667,0,0,0,597,1.42,58,0,100,60,60,40,0.244021164,0.17,1.35,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,3.859445958,600,50,11.66666667,0,0,0,597,1.42,58,0,100,60,60,60,0.233649832,0.17,0.58,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,3.183015441,600,50,11.66666667,0,0,0,597,1.42,58,0,100,60,60,90,0.223278499,0.16,0.47,0,0,0,0,0
NPREHP20BPEI1.81_1.52_1,2.945049955,600,50,11.66666667,0,0,0,597,1.42,58,0,15,60,60,75,0.212907167,0,0,110,0,0.78125,5,0
NPREHP20BPEI1.81_1.52_1,3.143960036,600,50,11.66666667,0,0,0,597,1.42,58,100,15,60,60,75,0.202535835,0,0,0,0,0,0,0
R-CFA-SBA-15BPEI1.81_1.52_1,0.69842233,600,30,7,0,0,0,728.9,0.94,8.1,0,0.04,60,300,35,0.100704265,0,0,0,0,0,0,0
R-CFA-SBA-15BPEI1.81_1.52_1,0.845873786,600,40,9.333333333,0,0,0,728.9,0.94,8.1,0,0.04,60,300,35,0.091385148,0,0,0,0,0,0,0
R-CFA-SBA-15BPEI1.81_1.52_1,1.19538835,600,50,11.66666667,0,0,0,728.9,0.94,8.1,0,0.04,60,300,35,0.103885148,0,0,0,0,0,0,0
R-CFA-SBA-15BPEI1.81_1.52_1,1.344660194,600,60,14,0,0,0,728.9,0.94,8.1,0,0.04,60,300,35,0.096839693,0,0,0,0,0,0,0
R-CFA-SBA-15BPEI1.81_1.52_1,1.643203883,600,70,16.33333333,0,0,0,728.9,0.94,8.1,0,0.04,60,300,35,0.10115694,0,0,0,0,0,0,0
R-CFA-SBA-15BPEI1.81_1.52_1,0.14684466,600,80,18.66666667,0,0,0,728.9,0.94,8.1,0,0.04,60,300,35,0.008201459,0,0,0,0,0,0,0
